preset_short_label,n_tracks,delta_peak_db_mean,delta_peak_db_std,delta_peak_db_min,delta_peak_db_max,delta_rms_db_mean,delta_rms_db_std,delta_rms_db_min,delta_rms_db_max,delta_crest_db_mean,delta_crest_db_std,delta_crest_db_min,delta_crest_db_max
128 CBR,89,1.017754164,0.529943489,-0.4350883,2.6822704,-0.431020563,0.006628232,-0.44455,-0.406949,1.448774653,0.528480263,0.009256,3.096461
192 CBR,89,0.516764947,0.340727986,-0.2695441,1.5354957,-0.26193022,0.001369309,-0.2677274,-0.257526,0.778695108,0.340586952,-0.005446,1.795112
320 CBR,89,0.368258712,0.264332516,-0.0100564,2.0456076,9.47E-05,0.000375801,-0.002991,0.0005985,0.368163878,0.264574229,-0.010237,2.048598
V0,89,0.449161256,0.243482814,-0.0140903,1.530808,0.000610479,0.000605131,-0.000508,0.003307,0.448550799,0.243284117,-0.014581,1.527501
V2,89,0.964398412,0.462945215,-0.0012224,2.5026517,-0.000440444,0.001983064,-0.0069566,0.003252,0.964838771,0.463209535,-0.001674,2.509607
V5,89,1.79223413,0.657463311,0.0969858,3.5074236,0.014576246,0.006333283,0.003031,0.046909,1.77765781,0.654581376,0.093954,3.4822766
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,preset_short_label,n_tracks,delta_rms_db_mean,delta_crest_db_mean,,,,,,,
,,,128 CBR,89,-0.431020563,1.448774653,,,,,,,
,,,192 CBR,89,-0.26193022,0.778695108,,,,,,,
,,,320 CBR,89,9.47E-05,0.368163878,,,,,,,
,,,V0,89,0.000610479,0.448550799,,,,,,,
,,,V2,89,-0.000440444,0.964838771,,,,,,,
,,,V5,89,0.014576246,1.77765781,,,,,,,
