track,preset_folder,preset_label,wav_size_bytes,wav_size_kb,wav_size_mb,encoded_size_bytes,encoded_size_kb,encoded_size_mb,size_ratio_encoded_to_wav,percent_reduction_from_wav,,,,,,,,
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,mp3_128,128 CBR,37984844,37094.57422,36.22517014,3446534,3365.755859,3.286870956,0.090734452,90.92655481,,,,,,,,
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,mp3_192,192 CBR,37984844,37094.57422,36.22517014,5169780,5048.613281,4.930286407,0.136101125,86.3898875,,,,,,,,
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,mp3_320,320 CBR,37984844,37094.57422,36.22517014,8616271,8414.327148,8.217116356,0.226834445,77.31655552,,,,,,,,
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,mp3_v0,V0,37984844,37094.57422,36.22517014,7508463,7332.483398,7.160628319,0.197669971,80.23300293,,,,,,,,
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,mp3_v2,V2,37984844,37094.57422,36.22517014,5331009,5206.063477,5.084046364,0.140345686,85.96543137,,,track,,preset_label,wav_size_mb,encoded_size_mb,percent_reduction_from_wav
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,mp3_v5,V5,37984844,37094.57422,36.22517014,3699449,3612.743164,3.528069496,0.097392765,90.26072346,,,My Own Summer (Shove It).wav,,128 CBR,36.22517014,3.286870956,90.92655481
Deftones/around the fur/02 Deftones - Lhabia.wav,mp3_128,128 CBR,44316428,43277.76172,42.26343918,4020810,3926.572266,3.834543228,0.09072956,90.92704403,,,My Own Summer (Shove It).wav,,192 CBR,36.22517014,4.930286407,86.3898875
Deftones/around the fur/02 Deftones - Lhabia.wav,mp3_192,192 CBR,44316428,43277.76172,42.26343918,6031194,5889.837891,5.751794815,0.136093866,86.39061343,,,My Own Summer (Shove It).wav,,320 CBR,36.22517014,8.217116356,77.31655552
Deftones/around the fur/02 Deftones - Lhabia.wav,mp3_320,320 CBR,44316428,43277.76172,42.26343918,10051961,9816.368164,9.586297035,0.226822455,77.31775449,,,My Own Summer (Shove It).wav,,V0,36.22517014,7.160628319,80.23300293
Deftones/around the fur/02 Deftones - Lhabia.wav,mp3_v0,V0,44316428,43277.76172,42.26343918,8596388,8394.910156,8.198154449,0.193977457,80.60225432,,,My Own Summer (Shove It).wav,,V2,36.22517014,5.084046364,85.96543137
Deftones/around the fur/02 Deftones - Lhabia.wav,mp3_v2,V2,44316428,43277.76172,42.26343918,6185039,6040.077148,5.89851284,0.139565377,86.04346226,,,My Own Summer (Shove It).wav,,V5,36.22517014,3.528069496,90.26072346
Deftones/around the fur/02 Deftones - Lhabia.wav,mp3_v5,V5,44316428,43277.76172,42.26343918,4132705,4035.844727,3.941254616,0.09325447,90.67455301,,,track,,preset_label,wav_size_mb,encoded_size_mb,percent_reduction_from_wav
Deftones/around the fur/03 Deftones - Mascara.wav,mp3_128,128 CBR,39748844,38817.23047,37.90745163,3606612,3522.082031,3.439533234,0.090735016,90.92649839,,,How I Could Just Kill a Man,,128 CBR,41.1643486,3.734893799,90.92687258
Deftones/around the fur/03 Deftones - Mascara.wav,mp3_192,192 CBR,39748844,38817.23047,37.90745163,5242880,5120,5,0.131900188,86.80998119,,,How I Could Just Kill a Man,,192 CBR,41.1643486,5.602320671,86.39035753
Deftones/around the fur/03 Deftones - Mascara.wav,mp3_320,320 CBR,39748844,38817.23047,37.90745163,9016467,8805.143555,8.598773003,0.226835955,77.31640447,,,How I Could Just Kill a Man,,320 CBR,41.1643486,9.337174416,77.31732741
Deftones/around the fur/03 Deftones - Mascara.wav,mp3_v0,V0,39748844,38817.23047,37.90745163,7100098,6933.689453,6.771181107,0.178624012,82.13759877,,,How I Could Just Kill a Man,,V0,41.1643486,7.270041466,82.33898577
Deftones/around the fur/03 Deftones - Mascara.wav,mp3_v2,V2,39748844,38817.23047,37.90745163,5183701,5062.208008,4.943562508,0.130411365,86.95886351,,,How I Could Just Kill a Man,,V2,41.1643486,4.894587517,88.10964419
Deftones/around the fur/03 Deftones - Mascara.wav,mp3_v5,V5,39748844,38817.23047,37.90745163,3531398,3448.630859,3.367803574,0.088842785,91.1157215,,,How I Could Just Kill a Man,,V5,41.1643486,3.338737488,91.8892498
Deftones/around the fur/04 Deftones - Around the Fur.wav,mp3_128,128 CBR,37345100,36469.82422,35.61506271,3388438,3309.021484,3.231466293,0.090733135,90.9266865,,,track,preset_label,wav_size_mb,encoded_size_mb,percent_reduction_from_wav,
Deftones/around the fur/04 Deftones - Around the Fur.wav,mp3_192,192 CBR,37345100,36469.82422,35.61506271,5082635,4963.510742,4.847178459,0.136099113,86.39008866,,,Sugar,128 CBR,25.87353134,2.347776413,90.92595293,
Deftones/around the fur/04 Deftones - Around the Fur.wav,mp3_320,320 CBR,37345100,36469.82422,35.61506271,8471030,8272.490234,8.078603745,0.226831097,77.3168903,,,Sugar,192 CBR,25.87353134,3.521644592,86.3890068,
Deftones/around the fur/04 Deftones - Around the Fur.wav,mp3_v0,V0,37345100,36469.82422,35.61506271,7005083,6840.901367,6.680567741,0.187577032,81.24229685,,,Sugar,320 CBR,25.87353134,5.869380951,77.31511453,
Deftones/around the fur/04 Deftones - Around the Fur.wav,mp3_v2,V2,37345100,36469.82422,35.61506271,5177126,5055.787109,4.937292099,0.138629325,86.13706751,,,Sugar,V0,25.87353134,5.098562241,80.29429314,
Deftones/around the fur/04 Deftones - Around the Fur.wav,mp3_v5,V5,37345100,36469.82422,35.61506271,3567219,3483.612305,3.401965141,0.095520403,90.44795971,,,Sugar,V2,25.87353134,3.508071899,86.44146463,
Deftones/around the fur/05 Deftones - Rickets.wav,mp3_128,128 CBR,28729724,28056.37109,27.3987999,2606854,2545.755859,2.486089706,0.090737175,90.92628248,,,Sugar,V5,25.87353134,2.30012989,91.11010453,
Deftones/around the fur/05 Deftones - Rickets.wav,mp3_192,192 CBR,28729724,28056.37109,27.3987999,3910260,3818.613281,3.729114532,0.136105032,86.38949682,,,,,,,,
Deftones/around the fur/05 Deftones - Rickets.wav,mp3_320,320 CBR,28729724,28056.37109,27.3987999,6517071,6364.327148,6.215163231,0.22684071,77.31592897,,,,,,,,
Deftones/around the fur/05 Deftones - Rickets.wav,mp3_v0,V0,28729724,28056.37109,27.3987999,5621670,5489.912109,5.361242294,0.195674348,80.43256524,,,,,,,,
Deftones/around the fur/05 Deftones - Rickets.wav,mp3_v2,V2,28729724,28056.37109,27.3987999,3998596,3904.878906,3.813358307,0.139179757,86.08202432,,,,,,,,
Deftones/around the fur/05 Deftones - Rickets.wav,mp3_v5,V5,28729724,28056.37109,27.3987999,2723564,2659.730469,2.597393036,0.094799518,90.52004816,,,,,,,,
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,mp3_128,128 CBR,54335948,53062.44922,51.81879807,4929453,4813.918945,4.70109272,0.090721763,90.92782369,,,,,,,,
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,mp3_192,192 CBR,54335948,53062.44922,51.81879807,7394159,7220.858398,7.05161953,0.136082267,86.39177327,,,,,,,,
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,mp3_320,320 CBR,54335948,53062.44922,51.81879807,12323569,12034.73535,11.75267124,0.226803239,77.3196761,,,,,,,,
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,mp3_v0,V0,54335948,53062.44922,51.81879807,10655134,10405.4043,10.16152763,0.196097324,80.3902676,,,,,,,,
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,mp3_v2,V2,54335948,53062.44922,51.81879807,7728919,7547.772461,7.370871544,0.142243198,85.77568022,,,,,,,,
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,mp3_v5,V5,54335948,53062.44922,51.81879807,5001570,4884.345703,4.769868851,0.092049006,90.79509941,,,,,,,,
Deftones/around the fur/07 Deftones - Lotion.wav,mp3_128,128 CBR,41943260,40960.21484,40.00020981,3805561,3716.368164,3.629265785,0.090731169,90.92688313,,,,,,,,
Deftones/around the fur/07 Deftones - Lotion.wav,mp3_192,192 CBR,41943260,40960.21484,40.00020981,5708320,5574.53125,5.443878174,0.13609624,86.39037595,,,,,,,,
Deftones/around the fur/07 Deftones - Lotion.wav,mp3_320,320 CBR,41943260,40960.21484,40.00020981,9513839,9290.858398,9.073103905,0.226826408,77.31735921,,,,,,,,
Deftones/around the fur/07 Deftones - Lotion.wav,mp3_v0,V0,41943260,40960.21484,40.00020981,8101819,7911.932617,7.726496696,0.193161404,80.68385958,,,,,,,,
