source_wav,mp3_128,mp3_192,mp3_320,mp3_v0,mp3_v2,mp3_v5,all_presets_present
Deftones/around the fur/01 Deftones - My Own Summer (Shove It).wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/02 Deftones - Lhabia.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/03 Deftones - Mascara.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/04 Deftones - Around the Fur.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/05 Deftones - Rickets.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/07 Deftones - Lotion.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/08 Deftones - Dai the Flu.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/09 Deftones - Headup.wav,OK,OK,OK,OK,OK,OK,True
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/02 Motion City Soundtrack - Shiver.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/03 Motion City Soundtrack - The Future Freaks Me Out.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/04 Motion City Soundtrack - Indoor Living.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/05 Motion City Soundtrack - My Favorite Accident.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/06 Motion City Soundtrack - Perfect Teeth.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/07 Motion City Soundtrack - Boombox Generation.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/08 Motion City Soundtrack - Don’t Call It a Comeback.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/09 Motion City Soundtrack - Modern Chemistry.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/10 Motion City Soundtrack - Capital H.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/11 Motion City Soundtrack - Red Dress.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/12 Motion City Soundtrack - Mary Without Sound.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/13 Motion City Soundtrack - Autographs & Apologies.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/I am the movie/14 Motion City Soundtrack - A‐OK.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/commit this to memory/01 Motion City Soundtrack - Attractive Today.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/commit this to memory/02 Motion City Soundtrack - Everything Is Alright.wav,OK,OK,OK,OK,OK,OK,True
Motion City Soundtrack/commit this to memory/03 Motion City Soundtrack - When “You’re” Around.wav,OK,OK,OK,OK,OK,OK,True
